Age,Gender,Education Level,Job Title,Years of Experience,Salary
39,Female,Bachelor's,Recruiter,11,70000
45,Male,PhD,Research Director,16,190000
28,Male,Bachelor's,Technical Support Specialist,2,40000
42,Female,Master's,Creative Director,14,120000
37,Male,Bachelor's,Project Manager,10,95000
50,Female,Bachelor's,Operations Manager,22,160000
32,Male,Master's,Senior Software Engineer,6,100000
48,Female,Master's,Human Resources Director,20,180000
30,Female,Bachelor's,Content Marketing Manager,3,55000
36,Male,Bachelor's,Technical Recruiter,8,70000
41,Female,Master's,Data Analyst,13,80000
25,Male,Bachelor's,Sales Representative,0,30000
52,Male,PhD,Chief Technology Officer,24,250000
29,Female,Bachelor's,Junior Designer,2,40000
34,Female,Master's,Financial Advisor,10,95000
27,Male,Bachelor's,Junior Account Manager,2,45000
40,Female,Bachelor's,HR Generalist,15,80000
46,Male,Master's,Senior Project Manager,21,135000
31,Female,Bachelor's,Marketing Coordinator,6,55000
36,Male,PhD,Principal Scientist,11,120000
29,Female,Bachelor's,Sales Associate,3,40000
43,Male,Bachelor's,Supply Chain Manager,18,105000
52,Female,Master's,Senior Marketing Manager,25,170000
33,Male,Bachelor's,Business Analyst,7,75000
39,Female,Bachelor's,Training Specialist,12,65000
47,Male,PhD,Research Scientist,22,160000
26,Male,Bachelor's,Junior Software Developer,1,35000
38,Female,Master's,Public Relations Manager,10,90000
45,Male,Bachelor's,Operations Analyst,20,110000
31,Female,Bachelor's,Event Coordinator,5,45000
35,Male,Master's,Product Marketing Manager,8,95000
49,Female,Master's,Senior HR Manager,19,150000
33,Male,Bachelor's,Junior Web Developer,5,50000
39,Female,Master's,Senior Project Coordinator,13,80000
44,Male,PhD,Chief Data Officer,16,220000
30,Female,Bachelor's,Digital Content Producer,3,50000
36,Male,Bachelor's,IT Support Specialist,7,60000
41,Female,Master's,Senior Marketing Analyst,14,100000
28,Male,Bachelor's,Customer Success Manager,2,40000
42,Female,Master's,Senior Graphic Designer,15,110000
37,Male,Bachelor's,Software Project Manager,9,95000
50,Female,Bachelor's,Supply Chain Analyst,22,130000
32,Male,Master's,Senior Business Analyst,6,90000
23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000
31,Male,Master's,Senior Financial Analyst,6,95000
40,Female,Bachelor's,Office Manager,15,65000
48,Male,PhD,Principal Engineer,20,170000
29,Female,Bachelor's,Junior HR Generalist,3,45000
35,Male,Master's,Senior Product Manager,10,120000
42,Female,Bachelor's,Sales Manager,17,100000
53,Male,Master's,Director of Marketing,25,180000
33,Female,Bachelor's,Junior Operations Analyst,5,50000
38,Male,Bachelor's,Customer Service Manager,11,80000
44,Female,PhD,Senior Scientist,16,140000
26,Male,Bachelor's,Junior Accountant,2,40000
37,Female,Master's,Senior HR Generalist,9,95000
45,Male,Bachelor's,Sales Operations Manager,18,110000
32,Female,Bachelor's,Marketing Coordinator,4,50000
34,Male,Master's,Senior Software Developer,8,105000
50,Female,Master's,Director of Operations,21,160000
29,Male,Bachelor's,Junior Web Designer,3,45000
40,Female,Master's,Senior Training Specialist,12,100000
47,Male,PhD,Senior Research Scientist,22,160000
27,Male,Bachelor's,Junior Sales Representative,1,35000
39,Female,Bachelor's,Administrative Assistant,10,55000
46,Male,Master's,Senior Project Manager,19,140000
30,Female,Bachelor's,Junior Marketing Manager,4,50000
36,Male,Bachelor's,Junior Data Analyst,7,60000
43,Female,Master's,Senior Product Marketing Manager,14,120000
28,Male,Bachelor's,Junior Business Analyst,2,40000
41,Female,Master's,Senior Marketing Manager,13,110000
33,Male,Bachelor's,Junior Software Developer,5,50000
47,Male,Bachelor's,Senior Sales Manager,20,135000
25,Female,Master's,Junior Marketing Specialist,1.5,40000
34,Male,Bachelor's,Senior Business Analyst,8,90000
42,Female,PhD,Senior Data Scientist,16,150000
31,Male,Bachelor's,Junior Project Manager,4,60000
38,Female,Bachelor's,Senior Accountant,10,80000
45,Male,Master's,Director of Sales,19,175000
29,Female,Bachelor's,Junior Recruiter,3,45000
36,Male,Master's,Senior Business Development Manager,11,120000
43,Female,PhD,Senior Product Designer,18,140000
26,Male,Bachelor's,Junior Customer Support Specialist,2,35000
37,Female,Master's,Senior Marketing Analyst,9,95000
44,Male,Bachelor's,Senior IT Support Specialist,14,110000
32,Female,Bachelor's,Junior Financial Analyst,5,50000
33,Male,Master's,Senior Operations Manager,7,115000
51,Female,PhD,Director of Human Resources,23,185000
28,Male,Bachelor's,Junior Software Engineer,2,40000
39,Female,Bachelor's,Senior Sales Representative,12,90000
48,Male,Master's,Director of Product Management,21,175000
30,Female,Bachelor's,Junior Copywriter,3,45000
35,Male,Bachelor's,Senior Marketing Coordinator,7,80000
41,Female,Master's,Senior Human Resources Manager,13,120000
27,Male,Bachelor's,Junior Business Development Associate,1.5,35000
40,Female,Bachelor's,Senior Account Manager,14,110000
46,Male,PhD,Senior Researcher,18,150000
31,Female,Bachelor's,Junior HR Coordinator,4,50000
34,Male,Master's,Senior Software Engineer,9,105000
50,Female,Master's,Director of Finance,20,180000
29,Male,Bachelor's,Junior Marketing Coordinator,2,40000
43,Male,Bachelor's,Senior Project Manager,16,140000
26,Female,Master's,Junior Data Scientist,1.5,45000
35,Male,Bachelor's,Senior Operations Analyst,7,85000
42,Female,PhD,Senior Marketing Manager,18,140000
31,Male,Bachelor's,Junior Accountant,4,50000
38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000
46,Male,Master's,Director of Operations,20,170000
29,Female,Bachelor's,Junior Sales Representative,2,40000
37,Male,Master's,Senior Business Analyst,9,105000
44,Female,PhD,Senior UX Designer,15,145000
27,Male,Bachelor's,Junior Product Manager,2,40000
36,Female,Bachelor's,Senior Marketing Specialist,8,85000
43,Male,Bachelor's,Senior IT Project Manager,14,130000
33,Female,Master's,Senior Financial Analyst,6,95000
34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000
50,Female,PhD,Director of Sales and Marketing,22,180000
28,Male,Bachelor's,Junior Operations Analyst,1.5,35000
39,Female,Bachelor's,Senior Account Executive,12,95000
47,Male,Master's,Director of Business Development,19,170000
30,Female,Bachelor's,Junior Social Media Manager,3,45000
34,Male,Bachelor's,Senior Product Manager,7,95000
40,Female,Master's,Senior Human Resources Specialist,13,120000
28,Male,Bachelor's,Junior Business Analyst,2,40000
41,Female,Bachelor's,Senior Marketing Coordinator,11,90000
45,Male,PhD,Senior Data Analyst,17,155000
32,Female,Bachelor's,Junior Account Manager,5,55000
35,Male,Master's,Senior Software Developer,9,110000
49,Female,Master's,Director of Human Capital,21,180000
30,Male,Bachelor's,Junior Advertising Coordinator,3,45000
44,Male,Bachelor's,Senior Sales Manager,16,130000
27,Female,Master's,Junior UX Designer,1.5,45000
36,Male,Bachelor's,Senior Accountant,7,90000
41,Female,PhD,Senior Marketing Director,17,160000
31,Male,Bachelor's,Junior HR Generalist,4,50000
39,Female,Bachelor's,Senior Operations Manager,10,120000
47,Male,Master's,Director of Finance,20,170000
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000
38,Male,Master's,Senior IT Consultant,9,110000
45,Female,PhD,Senior Product Designer,15,150000
28,Male,Bachelor's,Junior Business Development Associate,2,40000
35,Female,Bachelor's,Senior Marketing Analyst,8,85000
44,Male,Bachelor's,Senior Software Engineer,14,130000
34,Female,Master's,Senior Financial Advisor,6,100000
35,Male,Bachelor's,Senior Project Coordinator,9,95000
50,Female,PhD,Director of Operations,22,180000
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000
40,Female,Bachelor's,Senior Sales Representative,12,100000
48,Male,Master's,Director of Marketing,19,170000
31,Female,Bachelor's,Junior Social Media Specialist,3,45000
33,Male,Bachelor's,Senior Product Development Manager,7,100000
42,Female,Master's,Senior Human Resources Manager,13,140000
28,Male,Bachelor's,Junior Financial Analyst,2,40000
40,Female,Bachelor's,Senior Marketing Manager,11,105000
46,Male,PhD,Senior Data Scientist,18,160000
33,Female,Bachelor's,Junior Operations Manager,5,70000
37,Male,Master's,Senior Software Architect,9,120000
51,Female,Master's,Director of Human Resources,21,190000
30,Male,Bachelor's,Junior Marketing Specialist,3,45000
43,Male,Bachelor's,Senior Project Manager,15,120000
27,Female,Master's,Junior Research Scientist,1.5,50000
35,Male,Bachelor's,Senior Operations Analyst,8,85000
42,Female,PhD,Senior Marketing Manager,13,140000
32,Male,Bachelor's,Junior Sales Representative,3,45000
37,Female,Bachelor's,Senior Financial Analyst,9,100000
45,Male,Master's,Senior Software Developer,16,140000
33,Female,Bachelor's,Junior Operations Analyst,5,70000
39,Male,Bachelor's,Senior Marketing Specialist,10,120000
44,Female,PhD,Senior HR Manager,18,160000
29,Male,Bachelor's,Junior Business Analyst,1.5,40000
38,Female,Bachelor's,Senior Product Manager,10,120000
46,Male,PhD,Senior Data Analyst,19,150000
34,Female,Bachelor's,Junior Marketing Analyst,6,70000
36,Male,Bachelor's,Senior Operations Manager,8,95000
49,Female,Master's,Director of Marketing,21,180000
31,Male,Bachelor's,Junior Financial Analyst,3,50000
41,Female,Bachelor's,Senior Project Coordinator,11,95000
47,Male,Master's,Director of Operations,20,170000
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000
38,Male,Master's,Senior IT Consultant,9,110000
45,Female,PhD,Senior Product Designer,15,150000
28,Male,Bachelor's,Junior Business Development Associate,2,40000
35,Female,Bachelor's,Senior Marketing Analyst,8,85000
44,Male,Bachelor's,Senior Software Engineer,14,130000
34,Female,Master's,Senior Financial Advisor,6,100000
35,Male,Bachelor's,Senior Project Coordinator,9,95000
50,Female,PhD,Director of Operations,22,180000
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,350
37,Female,Bachelor's,Senior Financial Manager,10,120000
46,Male,PhD,Senior Data Scientist,18,160000
31,Female,Bachelor's,Junior Marketing Coordinator,3,50000
42,Male,Bachelor's,Senior Operations Manager,12,110000
29,Female,Bachelor's,Junior Sales Representative,1.5,40000
36,Male,Bachelor's,Senior Marketing Specialist,8,95000
44,Female,Master's,Senior HR Specialist,15,140000
33,Male,Bachelor's,Junior Operations Manager,4,60000
39,Female,Bachelor's,Senior Marketing Coordinator,9,110000
45,Male,PhD,Senior Data Engineer,16,150000
32,Female,Bachelor's,Junior Marketing Manager,4,60000
37,Male,Bachelor's,Senior Financial Analyst,8,90000
47,Female,Master's,Director of Marketing,20,180000
30,Male,Bachelor's,Junior Business Analyst,2,40000
38,Female,Bachelor's,Senior Project Manager,9,120000
46,Male,PhD,Senior Data Analyst,17,160000
34,Female,Bachelor's,Junior Financial Analyst,5,70000
36,Male,Bachelor's,Senior Product Manager,8,95000
49,Female,Master's,Director of Operations,21,180000
31,Male,Bachelor's,Junior Operations Analyst,3,50000
41,Female,Bachelor's,Senior Project Coordinator,11,95000
47,Male,Master's,Director of Marketing,19,170000
29,Female,Bachelor's,Junior Business Development Associate,1.5,35000
35,Male,Bachelor's,Senior Financial Manager,9,100000
44,Female,PhD,Senior Product Designer,15,150000
33,Male,Bachelor's,Junior Business Analyst,4,60000
35,Female,Bachelor's,Senior Marketing Analyst,8,85000
44,Male,Bachelor's,Senior Software Engineer,13,130000
32,Male,Bachelor's,Junior Product Manager,4,65000
38,Female,Bachelor's,Senior Business Analyst,10,110000
49,Male,PhD,Director of Operations,21,180000
29,Female,Bachelor's,Junior Marketing Specialist,2,40000
35,Male,Bachelor's,Senior Business Development Manager,7,90000
45,Female,Master's,Senior HR Manager,14,140000
33,Male,Bachelor's,Junior Financial Analyst,4,60000
40,Female,Bachelor's,Senior Marketing Manager,12,130000
44,Male,PhD,Senior Data Scientist,16,160000
30,Female,Bachelor's,Junior Operations Coordinator,2,40000
37,Male,Bachelor's,Senior Marketing Analyst,9,100000
48,Female,Master's,Director of HR,20,180000
31,Male,Bachelor's,Junior Project Manager,3,55000
38,Female,Bachelor's,Senior Operations Coordinator,9,120000
45,Male,PhD,Senior Data Engineer,16,150000
33,Female,Bachelor's,Junior Marketing Manager,5,70000
36,Male,Bachelor's,Senior Business Analyst,8,95000
49,Female,Master's,Director of Marketing,21,180000
31,Male,Bachelor's,Junior Operations Analyst,3,50000
42,Female,Bachelor's,Senior Project Manager,12,120000
47,Male,Master's,Director of Marketing,19,170000
29,Female,Bachelor's,Junior Business Development Associate,1.5,35000
35,Male,Bachelor's,Senior Financial Manager,9,100000
44,Female,PhD,Senior Product Designer,15,150000
33,Male,Bachelor's,Junior Business Analyst,4,60000
35,Female,Bachelor's,Senior Marketing Analyst,8,85000
44,Male,Bachelor's,Senior Software Engineer,13,130000
34,Female,Master's,Senior Financial Advisor,6,80000
36,Male,Bachelor's,Senior Marketing Specialist,8,95000
30,Female,Bachelor's,Junior HR Coordinator,2,40000
37,Male,Bachelor's,Senior Business Development Manager,10,120000
45,Female,Master's,Senior Marketing Manager,16,160000
32,Male,Bachelor's,Junior Financial Advisor,4,65000
39,Female,Bachelor's,Senior Project Manager,12,130000
47,Male,PhD,Director of Engineering,20,180000
29,Female,Bachelor's,Junior Marketing Analyst,2,40000
36,Male,Bachelor's,Senior Operations Manager,9,100000
43,Female,PhD,Senior Data Scientist,15,150000
32,Male,Bachelor's,Junior Marketing Coordinator,3,55000
38,Female,Bachelor's,Senior Business Analyst,10,110000
48,Male,Master's,Director of Marketing,21,180000
31,Female,Bachelor's,Junior Business Development Associate,3,50000
40,Male,Bachelor's,Senior Financial Analyst,12,130000
45,Female,PhD,Senior UX Designer,16,160000
33,Male,Bachelor's,Junior Product Manager,4,60000
36,Female,Bachelor's,Senior Marketing Manager,8,95000
47,Male,Master's,Director of Operations,19,170000
29,Female,Bachelor's,Junior Project Manager,2,40000
34,Male,Bachelor's,Senior Operations Coordinator,7,90000
44,Female,PhD,Senior Business Analyst,15,150000
33,Male,Bachelor's,Junior Marketing Specialist,5,70000
35,Female,Bachelor's,Senior Financial Manager,8,90000
43,Male,Master's,Director of Marketing,18,170000
31,Female,Bachelor's,Junior Financial Analyst,3,50000
41,Male,Bachelor's,Senior Product Manager,14,150000
44,Female,PhD,Senior Data Engineer,16,160000
33,Male,Bachelor's,Junior Business Analyst,4,60000
35,Female,Bachelor's,Senior Marketing Analyst,8,85000
45,Male,Master's,Director of Engineering,19,180000
28,Female,Bachelor's,Junior Operations Manager,1,35000
36,Male,Bachelor's,Senior Business Development Manager,8,110000
44,Female,PhD,Senior Data Scientist,16,160000
31,Male,Bachelor's,Junior Marketing Coordinator,3,55000
38,Female,Bachelor's,Senior Business Analyst,10,110000
48,Male,Master's,Director of Marketing,21,180000
31,Female,Bachelor's,Junior Business Development Associate,3,50000
40,Male,Bachelor's,Senior Financial Analyst,12,130000
45,Female,PhD,Senior UX Designer,16,160000
33,Male,Bachelor's,Junior Product Manager,4,60000
36,Female,Bachelor's,Senior Marketing Manager,8,95000
47,Male,Master's,Director of Operations,19,170000
29,Female,Bachelor's,Junior Project Manager,2,40000
34,Male,Bachelor's,Senior Operations Coordinator,7,90000
44,Female,PhD,Senior Business Analyst,15,150000
33,Male,Bachelor's,Junior Marketing Specialist,5,70000
35,Female,Bachelor's,Senior Financial Manager,8,90000
43,Male,Master's,Director of Marketing,18,170000
31,Female,Bachelor's,Junior Financial Analyst,3,50000
41,Male,Bachelor's,Senior Product Manager,14,150000
44,Female,PhD,Senior Data Engineer,16,160000
33,Male,Bachelor's,Junior Business Analyst,4,60000
35,Female,Bachelor's,Senior Marketing Analyst,8,85000
43,Male,Master's,Director of Operations,19,170000
29,Female,Bachelor's,Junior Project Manager,2,40000
34,Male,Bachelor's,Senior Operations Coordinator,7,90000
44,Female,PhD,Senior Business Analyst,15,150000
31,Male,Master's,Data Scientist,6,160000
28,Female,Bachelor's,Software Engineer,3,125000
26,Male,Master's,Product Manager,2,120000
27,Female,Bachelor's,Data Analyst,2,110000
30,Male,PhD,Data Scientist,5,180000
29,Female,Bachelor's,Software Engineer,4,140000
32,Male,Bachelor's,Product Manager,7,170000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
27,Male,PhD,Data Scientist,2,115000
29,Female,Bachelor's,Software Engineer,4,140000
34,Male,Bachelor's,Product Manager,9,185000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
28,Male,Bachelor's,Software Engineer,3,125000
26,Female,Master's,Product Manager,2,120000
27,Male,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,5,180000
29,Male,Bachelor's,Software Engineer,4,140000
32,Male,Bachelor's,Product Manager,7,170000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
27,Male,PhD,Data Scientist,2,115000
29,Female,Bachelor's,Software Engineer,4,140000
34,Male,Bachelor's,Product Manager,9,185000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
28,Male,Bachelor's,Software Engineer,3,125000
26,Female,Master's,Product Manager,2,120000
27,Male,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,5,180000
29,Male,Bachelor's,Software Engineer,4,140000
32,Male,Bachelor's,Product Manager,7,170000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
27,Male,PhD,Data Scientist,2,115000
29,Female,Bachelor's,Software Engineer,4,140000
34,Male,Bachelor's,Product Manager,9,185000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
28,Male,Bachelor's,Software Engineer,3,125000
26,Female,Master's,Product Manager,2,120000
27,Male,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,5,180000
29,Male,Bachelor's,Software Engineer,4,140000
32,Male,Bachelor's,Product Manager,7,170000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
27,Male,PhD,Data Scientist,2,115000
29,Female,Bachelor's,Software Engineer,4,140000
34,Male,Bachelor's,Product Manager,9,185000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
27,Male,PhD,Data Scientist,2,115000
29,Female,Bachelor's,Software Engineer,4,140000
34,Male,Bachelor's,Product Manager,9,185000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
28,Male,Bachelor's,Software Engineer,3,125000
26,Female,Master's,Product Manager,2,120000
27,Male,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,5,180000
29,Male,Bachelor's,Software Engineer,4,140000
32,Male,Bachelor's,Product Manager,7,170000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
27,Male,PhD,Data Scientist,2,115000
29,Female,Bachelor's,Software Engineer,4,140000
34,Male,Bachelor's,Product Manager,9,185000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
27,Male,PhD,Data Scientist,2,115000
29,Female,Bachelor's,Software Engineer,4,140000
34,Male,Bachelor's,Product Manager,9,185000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
27,Male,PhD,Data Scientist,2,115000
29,Female,Bachelor's,Software Engineer,4,140000
34,Male,Bachelor's,Product Manager,9,185000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
27,Male,PhD,Data Scientist,2,115000
29,Female,Bachelor's,Software Engineer,4,140000
34,Male,Bachelor's,Product Manager,9,185000
25,Female,Master's,Data Analyst,1,100000
33,Male,PhD,Data Scientist,8,190000
31,Female,Bachelor's,Software Engineer,6,155000
28,Male,Master's,Product Manager,3,130000
30,Female,Bachelor's,Data Analyst,5,145000
27,Male,PhD,Data Scientist,2,115000
29,Female,Bachelor's,Software Engineer,4,140000
34,Male,Bachelor's,Product Manager,9,185000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
27,Female,Bachelor's,Product Manager,4,150000
24,Male,Bachelor's,Data Analyst,1,90000
31,Female,Master's,Data Scientist,9,195000
28,Male,Bachelor's,Software Engineer,5,160000
33,Female,Master's,Product Manager,11,198000
25,Male,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
27,Male,Bachelor's,Software Engineer,4,140000
34,Female,Master's,Product Manager,12,196000
23,Male,Bachelor's,Data Analyst,1,95000
32,Female,PhD,Data Scientist,10,193000
29,Male,Bachelor's,Software Engineer,6,175000
30,Female,Bachelor's,Product Manager,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
31,Female,Master's,Data Scientist,6,180000
28,Male,Bachelor's,Software Engineer,5,160000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
30,Female,PhD,Data Scientist,7,185000
27,Male,Bachelor's,Software Engineer,4,140000
34,Female,Master's,Product Manager,12,196000
25,Male,Bachelor's,Data Analyst,2,110000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
27,Female,Bachelor's,Product Manager,4,150000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
33,Male,Master's,Product Manager,11,198000
26,Female,Bachelor's,Data Analyst,3,130000
30,Male,PhD,Data Scientist,7,185000
27,Female,Bachelor's,Software Engineer,4,140000
34,Male,Master's,Product Manager,12,196000
25,Female,Bachelor's,Data Analyst,2,110000
32,Male,Bachelor's,Software Engineer,8,190000
29,Female,Master's,Data Scientist,6,180000
30,Male,Bachelor's,Data Analyst,5,160000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
31,Female,PhD,Data Scientist,9,195000
28,Male,Bachelor's,Software Engineer,5,160000
27,Female,Bachelor's,Product Manager,4,150000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
25,Male,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
27,Male,Bachelor's,Software Engineer,4,140000
34,Female,Master's,Product Manager,12,196000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
25,Female,Bachelor's,Data Analyst,2,110000
30,Female,PhD,Data Scientist,7,185000
31,Male,Bachelor's,Data Analyst,9,195000
28,Female,Bachelor's,Software Engineer,5,160000
26,Male,Bachelor's,Data Analyst,3,130000
29,Female,Master's,Data Scientist,6,180000
32,Male,Bachelor's,Software Engineer,8,190000
33,Female,Master's,Product Manager,11,198000
24,Male,Bachelor's,Data Analyst,1,90000
27,Male,Bachelor's,Software Engineer,4,140000
