Name,Location,Rank,Description,Tuition Fees,In-state,Undergrad Enrollment
Dartmouth College,"Hanover, NH",11,"Dartmouth College, located in Hanover, New Hampshire, offers a wide range of student activities. Nearly 25 percent of students participate in Dartmouth's NCAA Division I varsity sports. More than 90 percent of students live in on-campus housing, which includes residence halls, fraternity and sorority houses, college-approved coeds and undergraduate societies. Approximately 60 percent of students are members of Greek organizations, which serve as the hubs of social life at Dartmouth. The Outing Club - the oldest and largest collegiate outing club in the country - is the most popular student organization at Dartmouth, offering outdoor activities, expeditions, gear rentals and courses. ","$51,438 ",,"4,307"
California Institute of Technology,"Pasadena, CA",12,"Caltech, which focuses on science and engineering, is located in Pasadena, California, approximately 11 miles northeast of Los Angeles. Social and academic life at Caltech centers on the eight student houses, which the school describes as ""self-governing living groups."" Student houses incorporate an admired Caltech tradition: dinners served by student waiters. Only freshmen are required to live on campus, but around 80 percent of students remain in their house for all four years. The Caltech Beavers have a number of NCAA Division III teams that compete in the Southern California Intercollegiate Athletic Conference. Integral to student life is the Honor Code, which dictates that ""No member of the Caltech community shall take unfair advantage of any other member of the Caltech community. ","$47,577 ",,"1,001"
Northwestern University,"Evanston, IL",12,"What began as farmland and swampland in the 1850s became the Northwestern campus and the city of Evanston, Ill. Northwestern University is a Division I school in the Big Ten athletic conference. Northwestern's women's lacrosse team has won multiple NCAA national championships. The school has hundreds of campus organizations fulfill students' varied interests. Freshmen are guaranteed on-campus housing if requested in their applications. The school's 11 residential colleges offer thematic living quarters for social and academic programming. Northwestern's main campuses are located along Lake Michigan in Evanston and Chicago. In 2008, Northwestern opened a third branch in Doha, Qatar. ","$50,855 ",,"8,314"
Brown University,"Providence, RI",14,"Located atop College Hill in Providence, R.I., Brown University has a college-town feel with Thayer Street serving as a center of activity for shopping and dining. The Brown Bears have about 35 NCAA Division I athletic teams and compete in the Ivy League. The Bears are well known for their men's soccer team, which consistently ranks among the top 25 teams in the nation. All students at Brown are required to live on campus for their first six semesters, and housing options include traditional singles, doubles and suites. With around 400 student organizations on campus ranging from The Brown Jug comedy magazine to Brown Ballroom Dance, students can find a way to pursue their interests. Brown also has a small but vibrant Greek community with approximately 10 chapters, including a few co-ed Greek organizations. ","$51,367 ",,"6,652"
Cornell University,"Ithaca, NY",15,"Cornell University, located in Ithaca, New York, has more than 1,000 student organizations on campus, which range from the Big Red Marching Band to the International Affairs Society. First-year students live together on north campus, and the university has housing options for upperclassmen and graduate students, though many choose to live off campus. Cornell has a thriving Greek life, with more than 60 fraternity and sorority chapters. Cornell has more than 30 NCAA Division I varsity teams that compete in the Ivy League. The Cornell Big Red are perhaps best known for their successful men's lacrosse team, which won nine consecutive Ivy League titles from 2003 to 2011. Cornell also has a strong hockey program. ","$50,953 ",,"14,315"
Rice University,"Houston, TX",15,"Rice University, located in the heart of Houston's Museum District, offers a dynamic student life in the nation's fourth-largest city. The Rice Coffeehouse, Valhalla Pub and Willy's Pub are all student-run institutions offering on-campus food and drink. Before stepping foot on campus, all students are assigned to one of 11 residential colleges, of which they remain members even if they decide to move off campus. The residential colleges provide housing, dining, and academic and social events. The Rice Owls boast 14 varsity NCAA Division I athletic teams and are well known for their strong baseball program. Students receive free tickets to all varsity athletic events. ","$43,918 ",,"3,910"
University of Notre Dame,"Notre Dame, IN",15,"Notre Dame is located in South Bend, Ind., just 100 miles outside of Chicago. Only freshmen are required to live on campus, but most students choose to remain on campus in one of the 29 single-sex residence halls. The halls serve as the centers of social life at Notre Dame, as there is no Greek life on campus. Legends, an on-campus restaurant and pub, is a popular spot for watching sporting events. The Notre Dame ""Fighting Irish"" boast more than 25 varsity NCAA Division I athletic teams and are well known for their consistently strong football program. Over half of students study abroad for at least one semester. ","$49,685 ",,"8,462"
Vanderbilt University,"Nashville, TN",15,"Vanderbilt University offers a wide range of student activities. Located in Nashville, or Music City, there are plenty of off-campus options for dining, shopping, music and entertainment. On campus, Greek organizations play a big role in social life, with approximately 40 percent of students affiliated with Greek life. All undergraduate students at Vanderbilt are required to live on campus, and freshmen live together in The Commons, which has six LEED certified green dorms. The Commodores, named for Vanderbilt founder ""Commodore"" Cornelius Vanderbilt, have teams in the NCAA Division I Southeastern Conference. About 35 percent of students take advantage of Vanderbilt's study abroad programs, which are offered in more than 35 countries. ","$45,610 ",,"6,883"
Washington University in St. Louis,"St. Louis, MO",19,"Washington University in St. Louis is located in a city that offers professional sports in football, baseball and hockey in addition to a wide range of options for dining and entertainment. The Wash U Bears are members of the NCAA Division III University Athletic Association. Freshmen are required to live on campus in one of the residence houses. After freshman year, students can choose to live in suite-style housing, on-campus apartments, fraternity houses or off-campus apartments and homes. Approximately 25 percent of students are affiliated with Greek life at Wash U. ","$49,770 ",,"7,504"
Emory University,"Atlanta, GA",20,"Emory University is located in the suburb of Druid Hills near downtown Atlanta. First- and second-year students are required to live on campus, but a majority of students choose to remain on campus for all four years. The Student Programming Council organizes events and performances throughout the year and has brought entertainers and musicians such as Tracy Morgan, Sean Kingston and Guster to campus in past years. A popular organization among students is Volunteer Emory, which oversees community service activities. The Emory Eagles have nearly 20 NCAA Division III varsity teams and are well known for their successful swimming and diving team. In addition to varsity athletics, all students are required to take two courses in physical education. There is a thriving Greek community at Emory with a number of fraternity and sorority chapters. ","$47,954 ",,"6,867"
Georgetown University,"Washington, DC",20,"Georgetown University is situated overlooking the Potomac River just a few minutes from downtown Washington. There are numerous traditional residence halls, and freshmen and sophomores are required to live on campus. Other students choose to live in the townhouses and apartments surrounding campus. Student organizations on campus include religious groups, media outlets and student government. The Georgetown Hoyas are part of the NCAA's Division I and are well known for their dominant men's basketball team, which maintains a fierce rivalry with Syracuse University and plays most home games at the Verizon Center, also home to the Washington Wizards. The popular chant ""hoya saxa,"" a mix of ancient Greek and Latin that means ""what rocks,"" gained prominence in 1920 and - contrary to popular belief - has nothing to do with Georgetown's mascot, Jack the Bulldog. ","$50,547 ",,"7,562"
University of California--Berkeley,"Berkeley, CA",20,"The University of California--Berkeley, often referred to as Cal, is situated overlooking the San Francisco Bay. Typically, 95 percent or more of incoming freshmen at Berkeley choose to live on campus. There are more than 1,000 student organizations, ranging from political groups to a hang gliding club and everything in between. Berkeley also has a thriving Greek life with dozens of fraternity and sorority chapters. The California Golden Bears, Berkeley's athletic teams, compete in the Pac-12 Conference and are known for their traditional arch rivalry with Stanford University. ","$40,191 ","$13,509 ","27,496"
University of Southern California,"Los Angeles, CA",23,"The University of Southern California's central campus, referred to as the University Park campus, is located in Los Angeles's Downtown Arts and Education Corridor. USC has other campuses in L.A. in addition to sites around Southern California and in Sacramento, Calif., and Washington. Students can participate in the more than 700 on-campus organizations, ranging from religious groups to club sports. USC students are not required to live on campus, but the university offers housing in its 40 or so residence halls and apartment buildings. A thriving Greek life comprises more than 60 chapters representing more than 3,500 students. The USC Trojans compete in the Pac-12 Conference and are known for their legendary football program. ","$52,217 ",,"18,810"
Carnegie Mellon University,"Pittsburgh, PA",24,"Carnegie Mellon University, founded by industrialist and philanthropist Andrew Carnegie, is located in Pittsburgh, which offers dining and entertainment options as well as professional sports teams including the Penguins (hockey), Steelers (football) and Pirates (baseball). Only freshmen are required to live on campus, but the university guarantees housing for all four years, and the majority of students choose to remain on campus. Nearly 20 percent of the student population is affiliated with Greek life, which consists of more than 20 fraternities and sororities. The Carnegie Mellon Tartans compete in NCAA Division III competitions, and the Kiltie Band, which sports full Scottish regalia, performs at every home football game. ","$52,040 ",,"6,454"
University of California--Los Angeles,"Los Angeles, CA",24,"The University of California--Los Angeles, commonly referred to as UCLA, is located in the Westwood neighborhood of L.A., just five miles from the Pacific Ocean. UCLA guarantees housing for three years. Students can join any of the more than 800 student organizations, including 60 or so Greek chapters, which represent about 13 percent of the student body. The university has a number of student media groups including a newspaper, magazine, and radio and TV stations. The UCLA Bruins compete in the Pac-12 Conference of NCAA's Division I and are well known for their successful men's and women's water polo teams. The Bruins' football team plays its home games at the famous Rose Bowl stadium in nearby Pasadena. ","$39,518 ","$12,836 ","29,585"
University of Virginia,"Charlottesville, VA",24,"Founded by Thomas Jefferson, the University of Virginia is located in Charlottesville. It's referred to among insiders as Mr. Jefferson's University or simply The University. Only first-year students are required to live on campus, and many upperclassmen live in off-campus apartments or fraternity and sorority houses. Greek life is prominent at UVA with a membership that includes approximately 30 percent of the student body. The Cavaliers, known unofficially as Wahoos or ���Hoos, are members of the NCAA Division I Atlantic Coast Conference and are well known for their consistently dominant men's and women's lacrosse teams. ","$45,066 ","$15,722 ","16,736"
Tufts University,"Medford, MA",27,"Tufts University is located in the Medford/Somerville area of Massachusetts, not far from downtown Boston. Tufts has additional campuses in Boston's Chinatown neighborhood, where its health sciences program is located, and in the suburb of Grafton, home to the Cummings School of Veterinary Medicine. All freshmen and sophomores are required to live on campus in dorms, suites or university-owned houses or apartments. Some student groups are the Cycling Club; the Beelzebubs, an all-male a cappella group; and the Freethought Society. About half of the student body participates in study abroad programs, and approximately 15 percent of students are affiliated with Greek life. Tufts' official mascot, Jumbo the elephant, is the only school mascot listed in Webster's Dictionary. ","$52,430 ",,"5,290"
University of Michigan--Ann Arbor,"Ann Arbor, MI",27,"The University of Michigan boasts one of the best college towns in the country: Ann Arbor, only 45 minutes from the city of Detroit. Freshmen are guaranteed housing but are not required to live on campus. Nearly 20 percent of the undergraduate student body is affiliated with Greek life at Michigan, which contains approximately 60 fraternity and sorority chapters. If Greek life does not sound appealing, there are more than 900 other student organizations from which to choose. The Michigan Wolverines have many traditions: Their colors are maize and blue, their widely known chant is ""Go Blue!,"" their stadium is called the ""Big House,"" and their football program, known for its fierce rivalry with Ohio State, is one of the most storied teams in college football. ","$43,476 ","$13,856 ","28,312"
Wake Forest University,"Winston-Salem, NC",27,"Wake Forest University is located in Winston-Salem, North Carolina, just a few hours by car from skiing in the Blue Ridge Mountains or relaxing on the beaches of South Carolina. Campus Recreation offers intramural sports and outdoor trips such as kayaking on the New River, hang-gliding and sky-diving. The Demon Deacons, Wake's athletic teams, are members of the NCAA Division I Atlantic Coast Conference. When Wake Forest played rival Duke University in 1922 and won, a local reporter described the Wake players as ""Demon Deacons,"" and thus, the mascot was born. Students must live on campus for six semesters in one of the residence halls. Greek organizations play a big role at Wake Forest, with a membership consisting of almost half of the student body. ","$49,308 ",,"4,871"
University of North Carolina--Chapel Hill,"Chapel Hill, NC",30,"The University of North Carolina--Chapel Hill, often referred to as UNC, offers a wide range of student activities. Popular student organizations include The Daily Tarheel, UNC's student newspaper, and WXYC, the student-run radio station. More than 3,000 students are members of Greek life. Chapel Hill, which surrounds UNC, is often considered one of the best college towns in the country, offering music, restaurants and shopping. Almost half of all undergraduates live on campus in one of the residence halls or apartment complexes. The North Carolina Tar Heels are members of the Atlantic Coast Conference and are known for their men's basketball team, which maintains a storied rivalry with nearby institution Duke University and is one of the most successful programs in college basketball. Former players include Michael Jordan and Vince Carter. ","$33,916 ","$8,834 ","18,415"
Boston College,"Chestnut Hill, MA",31,"Boston College was founded by the Society of Jesus and has maintained its Roman Catholic Jesuit religious affiliation. B.C. competes in nearly 30 NCAA Division I varsity sports in the Atlantic Coast Conference. The B.C. Eagles have one of the highest graduation rates for their student-athletes in the country. There are no fraternities or sororities on campus, however the school has more than 200 clubs and organizations. Freshmen are not required to live on campus, but the majority choose to do so. B.C. is located in Chestnut Hill, Mass., which is six miles west of downtown Boston, and its main campus is listed on the National Register of Historic Places. ","$51,296 ",,"9,192"
College of William & Mary,"Williamsburg, VA",32,"The College of William and Mary is second oldest college in the country. It was founded by King William III and Queen Mary II of England. The school's NCAA Division I varsity sports teams, known as the ""Tribe,"" participate in the Colonial Athletic Association. Students are involved with the Phi Beta Kappa fraternity, the nation's first academic Greek society, as well as other fraternities and sororities on campus. All freshmen are required to live on campus and the majority of upperclassmen live on campus as well. The school is located in historic downtown Williamsburg, Va. ","$41,718 ","$18,687 ","6,301"
University of Rochester,"Rochester, NY",32,"The University of Rochester describes itself as one of the smallest and most collegiate schools among the nation's top research universities. The Yellowjackets mainly compete in the University Athletic Association and participate in NCAA Division III sports. The school also offers more than 200 student organizations, and about one quarter of students are affiliated with Greek life on campus. Rochester's a cappella ensembles are among the country's best. Freshmen and sophomores are required to live on campus, and two-thirds of the juniors and more than half of the seniors choose to remain on campus. Rochester's main campus is located two miles south of downtown Rochester, N.Y., in the bend of the Genesee River. ","$50,142 ",,"6,304"
Brandeis University,"Waltham, MA",34,"Brandeis University is located in Waltham, Mass., just nine miles west of Boston. Students are guaranteed housing for their first four semesters. In addition to student-run TV and radio stations, Brandeis has religious and performance groups, service organizations, cultural awareness groups, performance groups and more. The Shapiro Campus Center serves as a hub of student activity on campus, housing a theater, bookstore, cafe, library, meeting rooms and a student art gallery. Cholmondeley's, the campus coffeehouse, is another hotspot for concerts and comedy shows. The Brandeis Judges field more than 15 NCAA Division III teams and are known for their strong men's soccer team. There is no Greek life on campus. ","$51,570 ",,"3,621"
Georgia Institute of Technology,"Atlanta, GA",34,"Georgia Tech, located in the heart of Atlanta, offers a wide range of student activities. The Georgia Tech Yellow Jackets, an NCAA Division I team, compete in the Atlantic Coast Conference and have a fierce rivalry with the University of Georgia. Since 1961, the football team has been led onto the field at home games by the Ramblin' Wreck, a restored 1930 Model A Ford Sport Coupe. Georgia Tech has a small but vibrant Greek community. Freshmen are offered housing, but aren't required to live on campus. In addition to its campuses in Atlanta and Savannah, Georgia Tech has campuses in France, Ireland, Costa Rica, Singapore and China. ","$32,404 ","$12,212 ","15,142"
New York University,"New York, NY",36,"New York University's primary campus is located in the lively Greenwich Village neighborhood of Manhattan. NYU is a true city school, with no borders separating a distinct campus from the streets of the Big Apple. Students are guaranteed housing for all four years in the many residence halls throughout Manhattan, but many upperclassmen choose to live off campus in apartments around the city. NYU has a small but active Greek life with more than 25 fraternity and sorority chapters. There are hundreds of student organizations on campus, such as NYU-TV, which operates both the University Channel and the Movie Channel to provide entertainment and information to the university community. ","$49,062 ",,"25,722"
Case Western Reserve University,"Cleveland, OH",37,"Case Western Reserve University is known for its world class research, but with more than 150 student organizations, there are plenty of opportunities to get involved outside the classroom, too. The Case Western Spartans varsity teams compete in the Division III University Athletic Association. The Greek system, which stresses a commitment to on-campus and community service, involves about one third of students. The campus is located about 20 minutes from downtown Cleveland, where students have free access to a handful of downtown museums like the Rock and Roll Hall of Fame and the Great Lakes Science Center. On campus, freshmen live in one of four themed residential communities, which are called Cedar, Juniper, Magnolia and Mistletoe. All students are invited to the annual SpringFest, a collection of music, carnival games and activities that is the largest student-run event on campus. ","$46,006 ",,"5,121"
University of California--Santa Barbara,"Santa Barbara, CA",37,"Located 100 miles up the coast from Los Angeles, the University of California--Santa Barbara sits atop cliffs overlooking the Pacific Ocean. Students can get involved in any of the more than 400 clubs and organizations on campus, including a Greek community that comprises about 10 percent of undergraduate students. UCSB provides housing to about 30 percent of students in eight residence halls and several university apartment complexes.The UC Santa Barbara Gauchos compete primarily in the NCAA Division I Big West Conference and are known for their successful women's basketball and men's soccer teams. Non-varsity students can join a club team such as cycling, surfing, rugby or ski and snowboard. ","$40,704 ","$14,022 ","20,607"
Boston University,"Boston, MA",39,"Boston University is one of the largest independent, nonprofit universities in the country. The BU Terriers have more than 20 NCAA Division I varsity sports. BU's hockey team has won multiple NCAA national championships. BU also has nearly 500 student clubs, ranging from Ski Racing to the Juggling Association. BU created one of the first study abroad programs, and currently sponsors more than 90 international programs. Freshmen are required to live on campus, and about 80 percent of undergraduate students live on the main Boston campus, which lies along the Charles River. ","$50,240 ",,"17,932"
Northeastern University,"Boston, MA",39,"At Northeastern University, students gain substantial work experience before receiving their diplomas. About 90 percent of Northeastern undergraduates complete at least one professional co-op during their college career, working for one of more than 2,000 employers around the world, such as GEICO and MTV. Students can choose to complete their degree in four years, with the potential for two co-ops, or five years, building in time for three co-ops. Outside of the classroom and workplace, there are more than 300 clubs and organizations for students, including about 25 fraternities and sororities. The Northeastern Huskies compete in the NCAA Division I Colonial Athletic Conference. More than 3,000 students compete at the club and intramural sport level. Freshmen and sophomores are required to live on campus. Northeastern's campus is spread out across 73 acres in the venerable college town of Boston. Northeastern has its own stop on Boston's subway system, commonly called the T. The city, home to myriad colleges, is steeped in American history and full of activities for students. ","$47,655 ",,"13,697"
Rensselaer Polytechnic Institute,"Troy, NY",39,"Rensselaer Polytechnic Institute was founded on the principles of bringing science to everyday life, and that ethos is still prevalent today. About a quarter of students are involved in Greek L.I.F.E., as the fraternity and sorority scene is known at the school, which stresses Leadership, Innovation, Fortitude and Evolution. More students - about three fourths - play sports at the varsity, club or intramural level. True to the school's mission, the varsity athletes are known as the Engineers, and compete in the Eastern College Athletic Conference and the Liberty League. There are also more than 175 student organizations. Freshmen must live on campus, usually in dormitories that only house first-year students. RPI's campus, in Troy, N.Y., is nestled in an ideal location for nature lovers. The school overlooks the Hudson River, where waterfront activities abound, and is close to Grafton Lakes State Park, Lake George and the Adirondack Mountains. For an urban experience, Albany is 9 miles away. ","$50,797 ",,"5,864"
Tulane University,"New Orleans, LA",39,"At Tulane University, located in New Orleans, students can experience a thriving -- and re-establishing -- city that is known for more than just its raucous Mardi Gras celebrations. The school is divided between an Uptown campus, its main location, and a Downtown campus, the center for health science programs. The French Quarter, about four miles from the main campus, is a popular tourist spot known for its music scene, nightlife and shopping. Freshmen and sophomores must live on campus, unless a student lives locally with parents, is married or is older than 21. There are more than 200 student organizations on campus, including about 20 sororities and fraternities. About a quarter of students are involved in the Greek system. The Tulane Green Wave sports teams compete in the Division I American Athletic Conference, and the school's colors are olive green and blue. Through Tulane After Dark, students can choose from a variety of evening activities such as concerts, comedy shows and murder mystery parties. Since Hurricane Katrina, hundreds of students a year have volunteered in community service efforts to rebuild the city. ","$51,010 ",,"6,662"
University of California--Irvine,"Irvine, CA",39,"On the sunny campus of the University of California--Irvine, students don't have far to go to decompress after class. The Pacific Ocean is a quick 5-mile trip away, attracting surfers, sailors and sunbathers alike. Seated in Orange County, the bustling campus is home to more than 500 student organizations, including nearly 50 fraternities and sororities. The UC--Irvine Anteaters compete at the Division I level in the Big West Conference, cheered on by non-traditional mascot Peter the Anteater and a group of student fans called Eater Nation. While UC Irvine is known as a commuter school, university officials have tried to combat that status by offering more on-campus residence options. Freshmen are not required to live on campus, but more than three-fourths of first-year students choose to do so. Getting around UC Irvine is easy with the school's ZotWheels, a fleet of blue and gold bicycles that students can pick up and ride to four campus locations. Commuters looking to be more energy efficient can carpool to campus with other students through the university's Zimride Rideshare Community. ","$39,458 ","$14,750 ","25,256"
Lehigh University,"Bethlehem, PA",44,"Lehigh University is located in Bethlehem, Pa., 50 miles north of Philadelphia and 75 miles west of New York City. The Lehigh Mountain Hawks are members of the Patriot League, and compete in 25 NCAA Division I sports. Their biggest athletic rivalry is Lafayette College, located less than 20 miles away. A third of the student body is involved in fraternities and sororities. All freshmen are required to live on campus, and sophomores are also required to live on campus in a residence hall or Greek housing. Lehigh's main campus is located on the wooded slope of South Mountain, and half of the campus is preserved as open space. ","$48,320 ",,"5,075"
University of California--Davis,"Davis, CA",44,"The University of California--Davis, one of 10 schools in the University of California system, was originally established as a farm school for UC - Berkeley. Located just 15 miles from Sacramento, UC Davis's campus contains an airport, fire department and a collection of outdoor sculptures called Eggheads. There are more than 500 student organizations on campus in addition to a sizeable Greek community that comprises about 65 fraternity and sorority chapters. All freshmen are guaranteed housing, and after their first year students typically move off campus or live in university apartments. The UC Davis Aggies field more than 20 NCAA Division I teams, and students can join the Aggie Pack, the largest student spirit organization in the country. ","$40,728 ","$14,046 ","28,384"
University of California--San Diego,"La Jolla, CA",44,"The University of California--San Diego lies alongside the Pacific Ocean in the La Jolla community of San Diego. The UCSD Tritons compete in more than 20 NCAA Division II sports, mainly in the California Collegiate Athletic Association. The school has hundreds of student organizations, and the university hosts a thriving Greek community. All freshmen are eligible for guaranteed on-campus housing for two years, but they are not required to live on campus. The campus has an aquarium and is home to the Large High Performance Outdoor Shake Table, which tests structures' ability to withstand simulated earthquakes. ","$41,387 ","$14,705 ","26,590"
University of Illinois--Urbana-Champaign,"Champaign, IL",44,"The University of Illinois is located in the twin cities of Urbana and Champaign in east-central Illinois, only a few hours from Chicago, Indianapolis and St. Louis. The school's Fighting Illini participate in more than 20 NCAA Division I varsity sports and are part of the Big Ten Conference. The university boasts the largest Greek system in the world, and almost a quarter of the student body is involved. It's not hard to find something to do on campus with more than 1,000 student organizations, including professional, political and philanthropic clubs. All freshmen are required to live on campus. ","$31,320 ","$15,698 ","33,368"
University of Miami,"Coral Gables, FL",44,"Located in Southern Florida, the University of Miami has an ideal location for students who love the outdoors. With popular spots like South Beach, the Florida Keys and Everglades National Park nearby, students have plenty of opportunities for water sports, hiking and sunbathing. Downtown Miami, also near to the school, is a thriving sports and cultural center. On campus, more than 2,400 students are involved in more than 30 fraternities and sororities. Students can also choose from more than 250 clubs and organizations to join. Freshmen are not required to live on campus, but many opt to live in the school's five residential colleges. The communities, modeled after housing at England's Oxford and Cambridge universities, combine living and learning with group meals, poetry readings, sports and more. For students who do not live in university housing, the Commuter Assistant Program pairs freshmen with an on-campus representative to help ease the transition into college. University of Miami Division I sports teams are known as the Hurricanes and compete in the Coastal Division of the Atlantic Coast Conference. The school's mascot is Sebastian the Ibis, a species of marsh bird that is known for weathering tropical storms. ","$47,004 ",,"11,122"
University of Wisconsin--Madison,"Madison, WI",44,"The University of Wisconsin--Madison lies along the southern shore of Lake Mendota in the city of Madison. The Wisconsin Badgers compete in more than 20 NCAA Division I sports and are part of the Big Ten Conference. Students can get involved in more than 800 organizations on campus. There is also an active Greek life and social scene on campus, evident in Wisconsin's reputation as one of the top party schools in the country. Freshmen are not required to live on campus, but many choose to do so. Students can opt to live in one of several residential communities where they learn and live with other students and faculty. ","$32,738 ","$10,488 ","31,662"
